Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 20/01/2022
TIME       : 00:22:39
FILENAME   : C:\Users\CEMIE\Downloads\Chelem_practica ENES 20220119\CSV\chelem_practica_220120002238_V6105.CSV
CREATED BY : Diver-Office 10.0.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..36-V6105  317.
  Instrument number       =          UTC+0     
                          =0
  Location                =chelem_practica
  Sample period           =S01
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.00    cm
  Range                   =10750.00  cm
  Master level            =10750     CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..36-V6105  317.
  Instrument number       =          UTC+0     
  Location                =chelem_practica
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:15 19/01/22
  End date / time         =04:44:19 19/01/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.00    cm
  Range                   =10750.00  cm
  Master level            =10750     CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Pressure[cm],Temperature[°C],1:Conductivity[mS/cm]
2022/01/19 15:33:30,1034.25,25.110,0.000
2022/01/19 15:33:31,1034.97,25.120,0.000
2022/01/19 15:33:32,1034.25,25.127,0.000
2022/01/19 15:33:33,1034.97,25.137,0.000
2022/01/19 15:33:34,1034.61,25.143,0.000
2022/01/19 15:33:35,1034.97,25.153,0.000
2022/01/19 15:33:36,1034.25,25.163,0.000
2022/01/19 15:33:37,1035.33,25.170,0.000
2022/01/19 15:33:38,1034.97,25.177,0.000
2022/01/19 15:33:39,1034.97,25.187,0.000
2022/01/19 15:33:40,1035.33,25.193,0.000
2022/01/19 15:33:41,1033.53,25.200,0.000
2022/01/19 15:33:42,1034.97,25.210,0.000
2022/01/19 15:33:43,1035.33,25.220,0.000
2022/01/19 15:33:44,1035.33,25.227,0.000
2022/01/19 15:33:45,1036.04,25.233,0.000
2022/01/19 15:33:46,1034.97,25.240,0.000
2022/01/19 15:33:47,1035.33,25.250,0.000
2022/01/19 15:33:48,1034.25,25.260,0.000
2022/01/19 15:33:49,1034.97,25.267,0.000
2022/01/19 15:33:50,1035.33,25.273,0.000
2022/01/19 15:33:51,1035.33,25.280,0.000
2022/01/19 15:33:52,1034.97,25.290,0.000
2022/01/19 15:33:53,1035.33,25.297,0.000
2022/01/19 15:33:54,1035.33,25.303,0.000
2022/01/19 15:33:55,1034.25,25.313,0.000
2022/01/19 15:33:56,1033.89,25.320,0.000
2022/01/19 15:33:57,1034.97,25.327,0.000
2022/01/19 15:33:58,1034.25,25.333,0.000
2022/01/19 15:33:59,1034.97,25.340,0.000
2022/01/19 15:34:00,1035.33,25.347,0.000
2022/01/19 15:34:01,1034.25,25.353,0.000
2022/01/19 15:34:02,1034.97,25.360,0.000
2022/01/19 15:34:03,1035.33,25.367,0.000
2022/01/19 15:34:04,1034.97,25.377,0.000
2022/01/19 15:34:05,1034.25,25.383,0.000
2022/01/19 15:34:06,1035.33,25.387,0.000
2022/01/19 15:34:07,1034.97,25.397,0.000
2022/01/19 15:34:08,1034.61,25.403,0.000
2022/01/19 15:34:09,1034.25,25.407,0.000
2022/01/19 15:34:10,1036.04,25.413,0.000
2022/01/19 15:34:11,1034.97,25.420,0.000
2022/01/19 15:34:12,1035.33,25.427,0.000
2022/01/19 15:34:13,1035.33,25.433,0.000
2022/01/19 15:34:14,1034.25,25.440,0.000
2022/01/19 15:34:15,1034.25,25.443,0.000
2022/01/19 15:34:16,1035.33,25.450,0.000
2022/01/19 15:34:17,1035.33,25.457,0.000
2022/01/19 15:34:18,1034.97,25.463,0.000
2022/01/19 15:34:19,1036.04,25.467,0.000
2022/01/19 15:34:20,1034.97,25.470,0.000
2022/01/19 15:34:21,1034.61,25.477,0.000
2022/01/19 15:34:22,1035.33,25.483,0.000
2022/01/19 15:34:23,1035.33,25.490,0.000
2022/01/19 15:34:24,1036.04,25.493,0.000
2022/01/19 15:34:25,1034.97,25.497,0.000
2022/01/19 15:34:26,1035.33,25.503,0.000
2022/01/19 15:34:27,1035.33,25.507,0.000
2022/01/19 15:34:28,1035.33,25.510,0.000
2022/01/19 15:34:29,1035.33,25.517,0.000
2022/01/19 15:34:30,1036.40,25.520,0.000
2022/01/19 15:34:31,1034.97,25.527,0.000
2022/01/19 15:34:32,1035.33,25.530,0.000
2022/01/19 15:34:33,1035.33,25.533,0.000
2022/01/19 15:34:34,1035.33,25.537,0.000
2022/01/19 15:34:35,1035.33,25.543,0.000
2022/01/19 15:34:36,1035.33,25.547,0.000
2022/01/19 15:34:37,1035.68,25.550,0.000
2022/01/19 15:34:38,1036.40,25.553,0.000
2022/01/19 15:34:39,1036.40,25.557,0.000
2022/01/19 15:34:40,1036.40,25.560,0.000
2022/01/19 15:34:41,1036.40,25.563,0.000
2022/01/19 15:34:42,1036.04,25.570,0.000
2022/01/19 15:34:43,1035.33,25.573,0.000
2022/01/19 15:34:44,1035.33,25.573,0.000
2022/01/19 15:34:45,1035.33,25.580,0.000
2022/01/19 15:34:46,1036.04,25.583,0.000
2022/01/19 15:34:47,1037.12,25.587,0.000
2022/01/19 15:34:48,1035.33,25.590,0.000
2022/01/19 15:34:49,1035.33,25.593,0.000
2022/01/19 15:34:50,1035.33,25.597,0.000
2022/01/19 15:34:51,1035.33,25.600,0.000
2022/01/19 15:34:52,1036.04,25.603,0.000
2022/01/19 15:34:53,1036.40,25.607,0.000
2022/01/19 15:34:54,1035.33,25.610,0.000
2022/01/19 15:34:55,1035.33,25.613,0.000
2022/01/19 15:34:56,1035.33,25.617,0.000
2022/01/19 15:34:57,1036.04,25.620,0.000
2022/01/19 15:34:58,1036.04,25.623,0.000
2022/01/19 15:34:59,1034.97,25.623,0.000
2022/01/19 15:35:00,1034.25,25.627,0.000
2022/01/19 15:35:01,1034.61,25.630,0.000
2022/01/19 15:35:02,1035.68,25.633,0.000
2022/01/19 15:35:03,1035.68,25.633,0.000
2022/01/19 15:35:04,1036.04,25.637,0.000
2022/01/19 15:35:05,1036.04,25.643,0.000
2022/01/19 15:35:06,1034.97,25.643,0.000
2022/01/19 15:35:07,1035.33,25.650,0.000
2022/01/19 15:35:08,1035.33,25.650,0.000
2022/01/19 15:35:09,1036.04,25.653,0.000
2022/01/19 15:35:10,1036.40,25.657,0.000
2022/01/19 15:35:11,1036.40,25.660,0.000
2022/01/19 15:35:12,1036.40,25.663,0.000
2022/01/19 15:35:13,1035.33,25.667,0.000
2022/01/19 15:35:14,1034.97,25.670,0.000
2022/01/19 15:35:15,1036.04,25.670,0.000
2022/01/19 15:35:16,1034.97,25.677,0.000
2022/01/19 15:35:17,1036.04,25.677,0.000
2022/01/19 15:35:18,1034.61,25.683,0.000
2022/01/19 15:35:19,1035.68,25.683,0.000
2022/01/19 15:35:20,1035.68,25.687,0.000
2022/01/19 15:35:21,1035.68,25.687,0.000
2022/01/19 15:35:22,1036.40,25.690,0.000
